var_name1,values,value_count,values%
RoofMatl,Tar&Grv,11.0,0.7534246575342466
RoofMatl,WdShake,5.0,0.3424657534246575
RoofMatl,WdShngl,6.0,0.410958904109589
RoofStyle,Flat,13.0,0.8904109589041096
RoofStyle,Gable,1141.0,78.15068493150685
RoofStyle,Gambrel,11.0,0.7534246575342466
RoofStyle,Hip,286.0,19.589041095890412
RoofStyle,Mansard,7.0,0.4794520547945205
RoofStyle,Shed,2.0,0.136986301369863
SaleCondition,Abnorml,101.0,6.917808219178082
SaleCondition,AdjLand,4.0,0.273972602739726
SaleCondition,Alloca,12.0,0.821917808219178
SaleCondition,Family,20.0,1.36986301369863
SaleCondition,Normal,1198.0,82.05479452054794
SaleCondition,Partial,125.0,8.561643835616438
SaleType,COD,43.0,2.9452054794520546
SaleType,CWD,4.0,0.273972602739726
SaleType,Con,2.0,0.136986301369863
SaleType,ConLD,9.0,0.6164383561643836
SaleType,ConLI,5.0,0.3424657534246575
SaleType,ConLw,5.0,0.3424657534246575
SaleType,New,122.0,8.356164383561644
SaleType,Oth,3.0,0.2054794520547945
SaleType,WD,1267.0,86.78082191780823
Street,Grvl,6.0,0.410958904109589
Street,Pave,1454.0,99.58904109589041
Utilities,AllPub,1459.0,99.93150684931507
Utilities,NoSeWa,1.0,0.0684931506849315
